# ----------------------------------------
# Páginas y pantallas: Ruta de página y clase de pantalla
# Cuenta: Vulcano S.A.
# Propiedad: B2C ARG
# ----------------------------------------
# 
# Todos los usuarios
# Fecha de inicio: 20250401
# Fecha de finalización: 20250430
Título de página y clase de pantalla,Porcentaje de rebote,Vistas,Eventos clave,Total de usuarios,Usuarios recurrentes,Usuarios nuevos,Usuarios activos,Vistas por usuario activo,Tiempo de interacción medio por usuario activo,Número de eventos
PowerLED 9W luz blanca 10 m - Vulcano SA,0.2,4,1,4,2,0,4,1,36.75,9
Tapón macho PN16 ø63 mm (para pegar) - Vulcano SA,0,2,1,2,0,0,2,1,12,3
Tee 90° PN16 HH ø50 mm (para pegar) - Vulcano SA,0.3333333333333333,3,1,3,2,0,3,1,14.666666666666666,7
Tee 90° Reducción PN16 HH ø40 - ø20 mm (para pegar) - Vulcano SA,0,1,1,1,0,1,1,1,7,5
Tubo flexible PVC ø40 mm (Hidroflex) - Vulcano SA,0,13,1,12,3,8,12,1.0833333333333333,37.583333333333336,53
"Unión doble PN16 ø50 mm - RM 1 1/2"" (para pegar y roscar) - Vulcano SA",0,5,1,5,2,2,5,1,9.8,16
VC-10 pool filter - Vulcan SA,0,0,1,1,0,0,1,0,28,1
"Válvula esférica PN10 HH 1 1/2""(para roscar) - Vulcano SA",0.125,8,1,5,4,2,5,1.6,23,23
Válvula esférica PN16 HH ø40 mm (para pegar) - Vulcano SA,0.13333333333333333,13,1,6,2,0,5,2.6,33.2,32
主页 - Vulcano SA,0,1,1,16,2,0,16,0.0625,16.5,115
12 m³/h archivos - Vulcano SA,0,1,0,1,1,0,1,1,52,4
AISI 316 archivos - Vulcano SA,0.09090909090909091,21,0,20,11,1,20,1.05,35.65,53
Ablandadores de agua archivos - Vulcano SA,0.014388489208633094,155,0,126,52,5,125,1.24,15.096,361
Accesorios de Instalación - Vulcano SA,0.036585365853658534,92,0,55,26,3,55,1.6727272727272726,20.87272727272727,223
Accesorios de PVC archivos - Página 4 de 4 - Vulcano SA,0,1,0,1,0,0,1,1,3,2
Accesorios de PVC archivos - Vulcano SA,0.05263157894736842,62,0,18,4,0,18,3.4444444444444446,52.44444444444444,99
Accesorios de instalación - Página 2 de 6 - Vulcano SA,0,14,0,3,0,0,3,4.666666666666667,68,23
Accesorios de instalación - Página 3 de 6 - Vulcano SA,0,4,0,1,0,0,1,4,118,6
Accesorios de instalación - Página 4 de 6 - Vulcano SA,0,2,0,1,0,0,1,2,27,4
